uid,question,answer,eva4b_label
6c143831d059630c84cfa5ffaa16e4f0,Okay. So basically on a quarterly basis moving forward you expect to be generating positive operating leverage pretty consistently with the focus you guys have on the efficiency side with three strategic objectives?,"Yeah, that's correct.",direct
5b0e9f26f7e9341d78857a4b61692331,"Thanks, guys. Lots of progress. Real exciting time. I know it's still recent from the release of the 413 data, and I know we still have to wait for the higher doses as well. But wondering if you've been able to do a little bit more work with kind of outside consultants and thought leaders about whether we could move forward with words-in-noise as a primary endpoint. Just kind of any conversations you've had any more confidence you got that, that could be the primary endpoint to complement the patient global impression. I think you still talk about making that a secondary endpoint. So I just wanted to understand any more progress there. And then as we wait for the higher doses and obviously, depending on that data, can you talk about the Phase 2b potentially being powered as registrational? I know you're still talking dose finding, but just wondering if that study could in fact depending on the data, be registrational. And then lastly, just ahead of 313, can you just remind us some of the steps that you've taken to try to minimize the placebo response as we wait for the August results?","Hi. Ken. Thank you very much for your questions. I think we have continued to talk about the WIN and shared those results with our KOLs as well as talk about the potential for that as a suitable primary endpoint. I think we continue to be very encouraged by data. What was obviously key for us in our data was seeing confirmation from both the Phase 1/2 and the Phase 2a study with the WIN response. As you may recall, it's very consistent between the two and clearly showed the WIN is doing a great job of picking up the benefit of OTO-413. So we do have conversations ongoing, but I think as we look at both the knowledge base of the WIN in the United States, audiologists are quite familiar with the WIN test. And the WIN test is one that has been heavily researched and validated in the hearing loss population. We do think it is a very good endpoint. And then obviously, it was part of our goal in looking at these three different tests was really to establish and identify which of these would probably be the most likely. So while we're at this point, still not confirming that, I think we do feel that the WIN is very encouraging and I can see that as a potential primary end point as we move forward, and that's something we're continuing to work on and talk about. So with regard to your second question and the dose finding and potential for registration, I mean, clearly, I think we have to recognize that this is a stepwise development. We're doing the first kind of research of its kind. We're the first to ever have demonstrated this kind of treatment benefit for a hearing loss population in two consecutive studies. And so I think we do have to expect that we're going to learn a lot more as well as, obviously, we'd be powering on very limited data. That said, I think it's important to understand, we always conduct our Phase 2 trials in a registration type format. We've done that with the 313 Phase 2 trial that we'll read out in August. And I think you can expect us to do the same with regards to the Phase 2b dose-ranging study for 413. We always feel it's best to run those trials very rigorously and to have them potentially prepared as registration if FDA is agreeable to the endpoints. So I think that's what you can expect for us here. And then finally, I think your last question was on the placebo response for 313. I think critically here, we saw a very low placebo response, as you may recall, in the Phase 1/2. And in fact, there was really only one patient that was showing that placebo response to at the lowest level. And I think part of that reason is because of this very strong requirement to have the clinical meaningful benefit be shown at both time points month one and two. And as well as the other parameters around the study that we have, including the TFI itself. So I think we do feel that it's important that we evaluate the placebo response, but we feel very good based on the Phase 1/2 I'm very encouraged by that. And I think that is one of the reasons you've seen us hold very strongly to that clinical trial design as well as the utilization of that responder analysis of both day 57 -- I'm sorry, at both month one and two in the case of 313. So again, we'll evaluate that, but I think we're very encouraged by that early data.",direct
e96dd4aafea4d393aaf036bbfee968b9,"Nice quarter. I wanted to get your updated thoughts on Arc and given the strength in that platform, if there's any new thoughts about continuing to be a JV or if it makes sense to be a separate entity at some point?",We have no current thoughts of changing that structure. I think that answers your question.,direct
9b6a5ffc7e4f3cd25ad3ffa82f037862,"Possibly, Allen, if you can remind us from the relapsed/refractory glioma phase 2, what were the immediate prior treatment regimen for those patients? Was it mostly radiation and also the temozolomide chemo? And the second is on ACTION, would have been better to have a physician's choice as a control arm rather than a placebo? Just any thoughts?","Yes. So in the first quarter, the choice of the control arm. And I think the -- I think it's important to note in the control in the phase 3 trial, post radiation therapy, there really is no standard of care. Patients typically receive the radiation therapy and then they wade wait into progressive disease. So this is an ideal time to study this. It also builds on some of the factors we saw in the phase 2 trial that we think will actually increase the probability of the success. Typically, this study, you're going to have a little smaller disease, you're going to be on therapy longer, and we're going to include the lower KPS score including the 60s. So we do think these factors increase our probability of technical success in this population. Yes, with regards to the prior therapies in that recurring experience, obviously, all of these patients had radiation recurred and weighted more than 90 days as I've noted on an earlier comment. In terms of additional therapies, these patients all prior to getting ONC201 tended particularly in the adult population to include temozolomide, even though that chemotherapy is known to not have a benefit within subsets of H3 K27M-mutant glioma. We still saw exposure to that just given the path of other agents. Other therapies included bevacizumab for symptomatic relief with edema in addition to [Inaudible], so really just a mixture of chemotherapy, and we're hopeful that moving earlier as we've noted a couple of times, moving earlier in line the therapy prior exposure to those chemotherapies will increase the likelihood of our patients benefit of ONC201.",direct
ecfd921bcef74828c756a7ffa10b57b0,"So in terms of the registrations or enrollment of Army personnel year-on-year, where do we stand? Are we down 20%, down 5% and where -- and when do we expect to kind of come back to last year's levels?","Yeah. So it's really -- Raj, it's really stabilized. In the third quarter actual, I think the Army was down for the quarter roughly 3%. And so, you're really seeing a return to kind of the prior year normal. Right now, as you look at our guidance for the fourth quarter, Army is going to be flat to slightly up, right. So it's really a combination of soldiers getting through that system, with the remainder utilize net ETP process that's really allowing them to now restart for those that were paused to restart their educational journey.",direct
50b9b2ffdf87bca1f85456cb248f1db4,"How many additional sales force do you expect to add to support the indication in the primary care setting? And second question is, when do you expect to see the full impact of the expansion of sales force to the community on the sales?","We expect to see the real impact of the expansion in the latter half of this year. This field force was obviously recruited in the first quarter. It's just getting up to speed as we move into the second quarter, and the full impact will be realized in the second half. But early signs are extremely encouraging, and we're really pleased with what we've seen. As regards to whether we need new and additional representatives to support the cap launch, the answer is simply no. We don't need to expand beyond where we plan to be, which would be at sort of steady-state, having about 40, 45 hospital-based representatives and about 40 in the community. And the reason for that simply is that many of the individuals that prescribe for skin also overlap significantly with those that prescribed the community-acquired pneumonia. And so you get a double hit on those individuals that you're targeting. You might shift your focus a little bit. Both of these diseases are a bit seasonal, as you can imagine, there's more skin infections in the summer and more pneumonia in the winter. So you might reverse your order of detailing, and you may over-index on certain positions for one indication rather than the other at some point in time. As we've stated in the past, we're very careful. We're putting lots and lots of representatives on the ground until we're sure that we'll realize the benefit. And if we feel that we can benefit from putting more in, we'll look at that at some time in the future. I think that the other component of the timing of how we've expanded the community, Suji, I think, is an important one to consider, which is that we believe that it was important always to have a solid foundation in the hospital setting to establish, I think, the credibility of the product in the sickest patients with infectious disease individual if physicians being the primary prescriber. The other, I think, feature of the predicate for setting the right conditions for a successful community expansion includes the robustness, we believe, of our market access efforts to date. And I do think that those efforts and our operational support here, I think we're part of the underlying reasons for -- despite insurance resets and some of the COVID pandemic headwinds, we were still able to see a robust quarter-over-quarter growth in the first quarter of this year.",direct
a0ca2b6e7a505d7e96c48a16c834b9ee,"OK. And that's after the interest expense, correct?",That's correct.,direct
ec79bc7136eef14053893120db349396,"And then maybe just kind of on the numbers. And the last one, pretty chunky impairment on the long-term investment. Looking at about RMB 44 million.
Kind of curious what that is?","Yes. Again, those are the investments that we have made in the past pertaining to a few investees. Again, those are the ones that we have made -- the investment we made with the intention of helping us in the targeted marketing area. We thought of the fact that we'll be able to have some synergy through these investees.
And the fact that now, we are winding down the targeted marketing business, so we deem there's no longer any value for them to keep on going forward. And the fact some of them are not performing well operationally, so based on the U.S. GAAP on the ground of conservatism, so we make a full provision for a couple of them.",direct
4ed3d61b5aaeedb608c34ba9aad83d71,Okay. And then kind of one question on for Karl on annual spend. The sequential decrease in Q1. Growth-wise still up sequentially on a dollar basis. But is this kind of typical seasonality we should expect?,Yes. Yes. So again Q1 is usually one of our lower one. In FY '19 we had a little bit of low performance in Q4. So some of that -- those Q1 deals may have been pulled into Q4 just as sort of the end of year processing cadence. But yes Q1 we usually have the same seasonality to our annual spend. So you can look back and use that as a good guide for the last couple of years as to how you should see it coming in.,direct
4cc2021ed42d9e0f568276fe4a2a499f,"Hey, Randy, in your prepared remarks you talked about having optimism on forward trends and credit quality for your markets. And I'm wondering what markets and/or data points you're using to kind of support your optimism?","Well, two things. I'll let Barry follow, but I mean our NPAs, we continue to improve with NPAs. A lot of these projects are being sold to developers who intend to develop those properties. I think that's very positive. They're buying at a very attractive price, but then most are -- they intend to make investments into, and I think that's a pretty good indicator. In addition, you've seen our delinquency percentages drop down quarter-over-quarter, so we're showing better performance than we did a year ago. And then when we look out at our customers and see the health of the balance sheet, you know, at this point, we're constantly looking to see if there are red flags. We just see a very good environment at this point. Barry, do you have anything to add. Yes, with across the markets, all the markets are still active. We have some good markets with some pretty strong growth. We're going to be coming into two new markets with -- in Utah and Nevada, which I think are going to bode well for us. So, we're staying on the positive side as far as market growth and respective production from those markets.",direct
